Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;38.419,17;38.381,93;38.663,05;38.899,12;;;;;;;;
2;38.421,65;38.379,45;38.678,15;38.904,13;;;;;;;;
3;38.424,12;38.376,97;38.693,27;38.909,14;;;;;;;;
4;38.426,60;38.374,49;38.708,39;38.914,15;;;;;;;;
5;38.429,08;38.372,01;38.723,52;38.919,16;;;;;;;;
6;38.431,55;38.369,54;38.738,65;38.924,18;;;;;;;;
7;38.434,03;38.367,06;38.753,79;38.929,19;;;;;;;;
8;38.436,51;38.364,58;38.768,93;38.934,20;;;;;;;;
9;38.438,98;38.362,10;38.784,08;38.939,22;;;;;;;;
10;38.436,50;38.377,09;38.789,07;;;;;;;;;
11;38.434,02;38.392,09;38.794,07;;;;;;;;;
12;38.431,53;38.407,09;38.799,07;;;;;;;;;
13;38.429,05;38.422,10;38.804,06;;;;;;;;;
14;38.426,57;38.437,12;38.809,06;;;;;;;;;
15;38.424,09;38.452,14;38.814,06;;;;;;;;;
16;38.421,61;38.467,16;38.819,06;;;;;;;;;
17;38.419,13;38.482,20;38.824,06;;;;;;;;;
18;38.416,64;38.497,23;38.829,06;;;;;;;;;
19;38.414,16;38.512,28;38.834,06;;;;;;;;;
20;38.411,68;38.527,33;38.839,06;;;;;;;;;
21;38.409,20;38.542,38;38.844,06;;;;;;;;;
22;38.406,72;38.557,45;38.849,06;;;;;;;;;
23;38.404,24;38.572,51;38.854,06;;;;;;;;;
24;38.401,76;38.587,59;38.859,07;;;;;;;;;
25;38.399,28;38.602,67;38.864,07;;;;;;;;;
26;38.396,80;38.617,75;38.869,08;;;;;;;;;
27;38.394,32;38.632,84;38.874,08;;;;;;;;;
28;38.391,84;38.647,94;38.879,09;;;;;;;;;
29;38.389,36;;38.884,10;;;;;;;;;
30;38.386,88;;38.889,10;;;;;;;;;
31;38.384,41;;38.894,11;;;;;;;;;
