Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"17.973,65","17.924,37","17.923,27","17.915,09","17.989,20","18.098,07","18.152,61","18.243,07","18.338,99","18.402,99","18.417,70","18.377,16"
2,"17.972,49","17.922,63","17.923,91","17.914,51","17.992,79","18.101,56","18.153,82","18.246,59","18.341,94","18.404,83","18.417,70","18.375,32"
3,"17.971,33","17.920,90","17.924,55","17.913,93","17.996,38","18.105,05","18.155,03","18.250,11","18.344,89","18.406,67","18.417,70","18.373,48"
4,"17.970,17","17.919,16","17.925,19","17.913,35","17.999,97","18.108,55","18.156,24","18.253,63","18.347,84","18.408,51","18.417,70","18.371,64"
5,"17.969,01","17.917,42","17.925,83","17.912,77","18.003,56","18.112,04","18.157,44","18.257,16","18.350,79","18.410,34","18.417,70","18.369,80"
6,"17.967,85","17.915,69","17.926,47","17.912,20","18.007,15","18.115,54","18.158,65","18.260,68","18.353,75","18.412,18","18.417,70","18.367,96"
7,"17.966,69","17.913,95","17.927,11","17.911,62","18.010,74","18.119,03","18.159,86","18.264,20","18.356,70","18.414,02","18.417,70","18.366,13"
8,"17.965,53","17.912,21","17.927,75","17.911,04","18.014,33","18.122,53","18.161,07","18.267,73","18.359,65","18.415,86","18.417,70","18.364,29"
9,"17.964,37","17.910,48","17.928,39","17.910,46","18.017,92","18.126,03","18.162,28","18.271,25","18.362,61","18.417,70","18.417,70","18.362,45"
10,"17.962,63","17.911,12","17.927,81","17.914,03","18.021,40","18.127,24","18.165,79","18.274,19","18.364,44","18.417,70","18.415,86","18.361,26"
11,"17.960,89","17.911,76","17.927,23","17.917,60","18.024,88","18.128,44","18.169,29","18.277,13","18.366,28","18.417,70","18.414,01","18.360,08"
12,"17.959,15","17.912,40","17.926,65","17.921,18","18.028,35","18.129,65","18.172,80","18.280,07","18.368,11","18.417,70","18.412,17","18.358,89"
13,"17.957,41","17.913,04","17.926,08","17.924,75","18.031,83","18.130,86","18.176,30","18.283,01","18.369,95","18.417,70","18.410,32","18.357,71"
14,"17.955,67","17.913,68","17.925,50","17.928,33","18.035,31","18.132,07","18.179,81","18.285,95","18.371,78","18.417,70","18.408,48","18.356,52"
15,"17.953,93","17.914,32","17.924,92","17.931,90","18.038,79","18.133,27","18.183,32","18.288,90","18.373,61","18.417,70","18.406,64","18.355,34"
16,"17.952,19","17.914,96","17.924,34","17.935,48","18.042,27","18.134,48","18.186,83","18.291,84","18.375,45","18.417,70","18.404,79","18.354,15"
17,"17.950,45","17.915,60","17.923,76","17.939,05","18.045,76","18.135,69","18.190,34","18.294,78","18.377,28","18.417,70","18.402,95","18.352,97"
18,"17.948,71","17.916,23","17.923,18","17.942,63","18.049,24","18.136,90","18.193,85","18.297,73","18.379,12","18.417,70","18.401,11","18.351,78"
19,"17.946,97","17.916,87","17.922,60","17.946,21","18.052,72","18.138,11","18.197,36","18.300,67","18.380,95","18.417,70","18.399,26","18.350,60"
20,"17.945,23","17.917,51","17.922,03","17.949,79","18.056,21","18.139,31","18.200,87","18.303,61","18.382,79","18.417,70","18.397,42","18.349,41"
21,"17.943,49","17.918,15","17.921,45","17.953,37","18.059,69","18.140,52","18.204,39","18.306,56","18.384,63","18.417,70","18.395,58","18.348,23"
22,"17.941,75","17.918,79","17.920,87","17.956,95","18.063,18","18.141,73","18.207,90","18.309,51","18.386,46","18.417,70","18.393,74","18.347,04"
23,"17.940,01","17.919,43","17.920,29","17.960,53","18.066,66","18.142,94","18.211,41","18.312,45","18.388,30","18.417,70","18.391,89","18.345,86"
24,"17.938,27","17.920,07","17.919,71","17.964,11","18.070,15","18.144,15","18.214,93","18.315,40","18.390,13","18.417,70","18.390,05","18.344,67"
25,"17.936,53","17.920,71","17.919,13","17.967,69","18.073,64","18.145,36","18.218,44","18.318,34","18.391,97","18.417,70","18.388,21","18.343,49"
26,"17.934,80","17.921,35","17.918,56","17.971,28","18.077,12","18.146,56","18.221,96","18.321,29","18.393,81","18.417,70","18.386,37","18.342,30"
27,"17.933,06","17.921,99","17.917,98","17.974,86","18.080,61","18.147,77","18.225,48","18.324,24","18.395,64","18.417,70","18.384,53","18.341,12"
28,"17.931,32","17.922,63","17.917,40","17.978,45","18.084,10","18.148,98","18.228,99","18.327,19","18.397,48","18.417,70","18.382,69","18.339,93"
29,"17.929,58",,"17.916,82","17.982,03","18.087,59","18.150,19","18.232,51","18.330,14","18.399,32","18.417,70","18.380,85","18.338,75"
30,"17.927,84",,"17.916,24","17.985,62","18.091,08","18.151,40","18.236,03","18.333,09","18.401,15","18.417,70","18.379,01","18.337,56"
31,"17.926,11",,"17.915,66",,"18.094,57",,"18.239,55","18.336,04",,"18.417,70",,"18.336,38"
