Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;26.348,83;26.316,51;26.396,79;26.473,65;26.564,95;26.632,70;26.665,98;26.593,89;26.605,81;26.658,56;26.633,18;26.736,45
2;26.349,68;26.314,81;26.401,49;26.475,35;26.568,49;26.634,42;26.666,87;26.590,45;26.607,53;26.660,34;26.631,46;26.741,78
3;26.350,53;26.313,11;26.406,20;26.477,06;26.572,03;26.636,13;26.667,76;26.587,01;26.609,24;26.662,11;26.629,74;26.747,12
4;26.351,38;26.311,41;26.410,90;26.478,76;26.575,56;26.637,85;26.668,64;26.583,58;26.610,96;26.663,89;26.628,02;26.752,45
5;26.352,23;26.309,71;26.415,61;26.480,47;26.579,10;26.639,57;26.669,53;26.580,14;26.612,67;26.665,66;26.626,30;26.757,79
6;26.353,08;26.308,02;26.420,31;26.482,18;26.582,64;26.641,28;26.670,42;26.576,70;26.614,39;26.667,44;26.624,58;26.763,12
7;26.353,93;26.306,32;26.425,02;26.483,88;26.586,17;26.643,00;26.671,31;26.573,27;26.616,10;26.669,22;26.622,86;26.768,46
8;26.354,78;26.304,62;26.429,73;26.485,59;26.589,71;26.644,72;26.672,20;26.569,83;26.617,82;26.670,99;26.621,14;26.773,80
9;26.355,63;26.302,92;26.434,43;26.487,30;26.593,25;26.646,44;26.673,09;26.566,40;26.619,53;26.672,77;26.619,42;26.779,14
10;26.353,93;26.307,61;26.436,13;26.490,82;26.594,96;26.647,33;26.669,64;26.568,11;26.621,30;26.671,05;26.624,73;26.780,00
11;26.352,23;26.312,29;26.437,84;26.494,35;26.596,68;26.648,22;26.666,19;26.569,82;26.623,08;26.669,33;26.630,04;26.780,87
12;26.350,52;26.316,98;26.439,54;26.497,88;26.598,39;26.649,10;26.662,75;26.571,54;26.624,85;26.667,60;26.635,35;26.781,73
13;26.348,82;26.321,67;26.441,25;26.501,40;26.600,11;26.649,99;26.659,30;26.573,25;26.626,62;26.665,88;26.640,66;26.782,59
14;26.347,12;26.326,36;26.442,95;26.504,93;26.601,82;26.650,88;26.655,85;26.574,96;26.628,40;26.664,16;26.645,97;26.783,46
15;26.345,42;26.331,05;26.444,65;26.508,46;26.603,54;26.651,77;26.652,41;26.576,68;26.630,17;26.662,44;26.651,29;26.784,32
16;26.343,72;26.335,74;26.446,36;26.511,98;26.605,25;26.652,66;26.648,96;26.578,39;26.631,94;26.660,71;26.656,60;26.785,18
17;26.342,02;26.340,43;26.448,06;26.515,51;26.606,97;26.653,54;26.645,52;26.580,10;26.633,72;26.658,99;26.661,92;26.786,05
18;26.340,32;26.345,12;26.449,77;26.519,04;26.608,68;26.654,43;26.642,07;26.581,81;26.635,49;26.657,27;26.667,23;26.786,91
19;26.338,61;26.349,81;26.451,47;26.522,57;26.610,40;26.655,32;26.638,63;26.583,53;26.637,26;26.655,55;26.672,55;26.787,78
20;26.336,91;26.354,51;26.453,18;26.526,10;26.612,11;26.656,21;26.635,18;26.585,24;26.639,04;26.653,83;26.677,87;26.788,64
21;26.335,21;26.359,20;26.454,88;26.529,63;26.613,83;26.657,10;26.631,74;26.586,95;26.640,81;26.652,11;26.683,19;26.789,50
22;26.333,51;26.363,90;26.456,59;26.533,16;26.615,54;26.657,98;26.628,30;26.588,67;26.642,59;26.650,39;26.688,51;26.790,37
23;26.331,81;26.368,60;26.458,29;26.536,69;26.617,26;26.658,87;26.624,85;26.590,38;26.644,36;26.648,67;26.693,84;26.791,23
24;26.330,11;26.373,29;26.460,00;26.540,22;26.618,97;26.659,76;26.621,41;26.592,10;26.646,14;26.646,94;26.699,16;26.792,09
25;26.328,41;26.377,99;26.461,70;26.543,75;26.620,69;26.660,65;26.617,97;26.593,81;26.647,91;26.645,22;26.704,48;26.792,96
26;26.326,71;26.382,69;26.463,41;26.547,29;26.622,40;26.661,54;26.614,53;26.595,52;26.649,69;26.643,50;26.709,81;26.793,82
27;26.325,01;26.387,39;26.465,12;26.550,82;26.624,12;26.662,42;26.611,09;26.597,24;26.651,46;26.641,78;26.715,14;26.794,69
28;26.323,31;26.392,09;26.466,82;26.554,35;26.625,84;26.663,31;26.607,65;26.598,95;26.653,24;26.640,06;26.720,46;26.795,55
29;26.321,61;;26.468,53;26.557,89;26.627,55;26.664,20;26.604,21;26.600,67;26.655,01;26.638,34;26.725,79;26.796,41
30;26.319,91;;26.470,23;26.561,42;26.629,27;26.665,09;26.600,77;26.602,38;26.656,79;26.636,62;26.731,12;26.797,28
31;26.318,21;;26.471,94;;26.630,98;;26.597,33;26.604,10;;26.634,90;;26.798,14
