Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;28.310,86;28.339,17;28.469,54;28.601,15;28.693,59;28.716,52;28.695,46;28.666,51;28.680,37;28.708,80;28.844,20;29.036,92
2;28.311,77;28.340,08;28.475,41;28.604,83;28.696,46;28.716,52;28.694,50;28.665,59;28.681,30;28.709,76;28.849,76;29.043,67
3;28.312,68;28.341,00;28.481,29;28.608,51;28.699,32;28.716,52;28.693,54;28.664,66;28.682,22;28.710,72;28.855,33;29.050,42
4;28.313,60;28.341,91;28.487,16;28.612,20;28.702,19;28.716,52;28.692,59;28.663,74;28.683,14;28.711,67;28.860,90;29.057,18
5;28.314,51;28.342,82;28.493,04;28.615,88;28.705,05;28.716,52;28.691,63;28.662,81;28.684,07;28.712,63;28.866,47;29.063,94
6;28.315,42;28.343,74;28.498,92;28.619,57;28.707,92;28.716,52;28.690,67;28.661,89;28.684,99;28.713,59;28.872,04;29.070,70
7;28.316,33;28.344,65;28.504,80;28.623,25;28.710,79;28.716,52;28.689,72;28.660,96;28.685,92;28.714,54;28.877,61;29.077,46
8;28.317,25;28.345,56;28.510,68;28.626,94;28.713,65;28.716,52;28.688,76;28.660,04;28.686,84;28.715,50;28.883,18;29.084,22
9;28.318,16;28.346,48;28.516,56;28.630,63;28.716,52;28.716,52;28.687,80;28.659,11;28.687,77;28.716,46;28.888,76;29.090,98
10;28.319,07;28.352,33;28.520,23;28.633,49;28.716,52;28.715,56;28.686,87;28.660,03;28.688,73;28.722,00;28.895,48;29.090,04
11;28.319,99;28.358,18;28.523,91;28.636,35;28.716,52;28.714,60;28.685,95;28.660,96;28.689,68;28.727,54;28.902,20;29.089,10
12;28.320,90;28.364,03;28.527,58;28.639,21;28.716,52;28.713,65;28.685,02;28.661,88;28.690,64;28.733,09;28.908,92;29.088,16
13;28.321,81;28.369,88;28.531,25;28.642,07;28.716,52;28.712,69;28.684,10;28.662,81;28.691,59;28.738,63;28.915,64;29.087,22
14;28.322,73;28.375,73;28.534,93;28.644,93;28.716,52;28.711,73;28.683,17;28.663,73;28.692,55;28.744,18;28.922,37;29.086,29
15;28.323,64;28.381,59;28.538,60;28.647,79;28.716,52;28.710,77;28.682,25;28.664,65;28.693,51;28.749,73;28.929,09;29.085,35
16;28.324,55;28.387,44;28.542,28;28.650,65;28.716,52;28.709,82;28.681,32;28.665,58;28.694,46;28.755,28;28.935,82;29.084,41
17;28.325,47;28.393,30;28.545,95;28.653,51;28.716,52;28.708,86;28.680,39;28.666,50;28.695,42;28.760,83;28.942,55;29.083,47
18;28.326,38;28.399,15;28.549,63;28.656,37;28.716,52;28.707,90;28.679,47;28.667,43;28.696,37;28.766,38;28.949,28;29.082,53
19;28.327,29;28.405,01;28.553,31;28.659,23;28.716,52;28.706,94;28.678,54;28.668,35;28.697,33;28.771,93;28.956,01;29.081,59
20;28.328,21;28.410,87;28.556,98;28.662,09;28.716,52;28.705,99;28.677,62;28.669,28;28.698,29;28.777,48;28.962,74;29.080,65
21;28.329,12;28.416,73;28.560,66;28.664,96;28.716,52;28.705,03;28.676,69;28.670,20;28.699,24;28.783,03;28.969,48;29.079,72
22;28.330,03;28.422,60;28.564,34;28.667,82;28.716,52;28.704,07;28.675,77;28.671,12;28.700,20;28.788,59;28.976,22;29.078,78
23;28.330,95;28.428,46;28.568,02;28.670,68;28.716,52;28.703,12;28.674,84;28.672,05;28.701,15;28.794,14;28.982,95;29.077,84
24;28.331,86;28.434,32;28.571,70;28.673,54;28.716,52;28.702,16;28.673,92;28.672,97;28.702,11;28.799,70;28.989,69;29.076,90
25;28.332,77;28.440,19;28.575,38;28.676,41;28.716,52;28.701,20;28.672,99;28.673,90;28.703,07;28.805,26;28.996,44;29.075,96
26;28.333,69;28.446,06;28.579,06;28.679,27;28.716,52;28.700,24;28.672,06;28.674,82;28.704,02;28.810,82;29.003,18;29.075,02
27;28.334,60;28.451,93;28.582,74;28.682,13;28.716,52;28.699,29;28.671,14;28.675,75;28.704,98;28.816,38;29.009,92;29.074,08
28;28.335,51;28.457,80;28.586,42;28.685,00;28.716,52;28.698,33;28.670,21;28.676,67;28.705,94;28.821,94;29.016,67;29.073,15
29;28.336,43;28.463,67;28.590,10;28.687,86;28.716,52;28.697,37;28.669,29;28.677,60;28.706,89;28.827,50;29.023,42;29.072,21
30;28.337,34;;28.593,78;28.690,73;28.716,52;28.696,42;28.668,36;28.678,52;28.707,85;28.833,07;29.030,17;29.071,27
31;28.338,25;;28.597,46;;28.716,52;;28.667,44;28.679,45;;28.838,63;;29.070,33
