Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;30.996,73;31.220,68;31.552,64;31.730,80;32.196,69;32.694,20;33.099,99;33.426,92;33.851,69;34.271,85;34.610,35;34.817,58
2;31.001,72;31.228,70;31.566,08;31.733,87;32.216,89;32.708,87;33.113,16;33.436,58;33.866,87;34.285,48;34.620,36;34.823,37
3;31.006,71;31.236,73;31.579,53;31.736,94;32.237,11;32.723,54;33.126,33;33.446,25;33.882,06;34.299,11;34.630,36;34.829,16
4;31.011,69;31.244,76;31.592,99;31.740,00;32.257,34;32.738,22;33.139,50;33.455,92;33.897,26;34.312,76;34.640,37;34.834,95
5;31.016,68;31.252,79;31.606,45;31.743,07;32.277,59;32.752,90;33.152,68;33.465,59;33.912,47;34.326,40;34.650,39;34.840,75
6;31.021,67;31.260,83;31.619,92;31.746,14;32.297,84;32.767,60;33.165,86;33.475,26;33.927,68;34.340,05;34.660,40;34.846,54
7;31.026,67;31.268,86;31.633,39;31.749,20;32.318,11;32.782,29;33.179,05;33.484,94;33.942,90;34.353,71;34.670,42;34.852,33
8;31.031,66;31.276,90;31.646,87;31.752,27;32.338,40;32.797,00;33.192,25;33.494,62;33.958,13;34.367,37;34.680,44;34.858,13
9;31.036,65;31.284,94;31.660,36;31.755,34;32.358,69;32.811,71;33.205,45;33.504,30;33.973,36;34.381,04;34.690,47;34.863,92
10;31.044,63;31.298,27;31.663,42;31.775,27;32.373,21;32.824,76;33.215,05;33.519,33;33.986,87;34.390,98;34.696,24;34.875,11
11;31.052,61;31.311,61;31.666,48;31.795,21;32.387,73;32.837,81;33.224,65;33.534,37;34.000,39;34.400,92;34.702,01;34.886,31
12;31.060,59;31.324,95;31.669,54;31.815,17;32.402,26;32.850,87;33.234,25;33.549,41;34.013,91;34.410,86;34.707,78;34.897,51
13;31.068,58;31.338,30;31.672,60;31.835,13;32.416,79;32.863,94;33.243,86;33.564,46;34.027,44;34.420,81;34.713,55;34.908,71
14;31.076,56;31.351,65;31.675,66;31.855,11;32.431,33;32.877,01;33.253,47;33.579,51;34.040,97;34.430,76;34.719,32;34.919,92
15;31.084,55;31.365,01;31.678,72;31.875,10;32.445,88;32.890,08;33.263,08;33.594,58;34.054,51;34.440,71;34.725,09;34.931,13
16;31.092,54;31.378,38;31.681,78;31.895,11;32.460,44;32.903,16;33.272,70;33.609,65;34.068,05;34.450,67;34.730,86;34.942,34
17;31.100,54;31.391,75;31.684,84;31.915,12;32.475,00;32.916,25;33.282,32;33.624,72;34.081,60;34.460,63;34.736,64;34.953,56
18;31.108,53;31.405,12;31.687,91;31.935,15;32.489,56;32.929,34;33.291,94;33.639,81;34.095,15;34.470,59;34.742,41;34.964,78
19;31.116,53;31.418,50;31.690,97;31.955,20;32.504,14;32.942,44;33.301,56;33.654,90;34.108,71;34.480,55;34.748,19;34.976,01
20;31.124,53;31.431,89;31.694,03;31.975,25;32.518,72;32.955,54;33.311,19;33.669,99;34.122,28;34.490,52;34.753,97;34.987,23
21;31.132,53;31.445,29;31.697,09;31.995,32;32.533,31;32.968,64;33.320,82;33.685,10;34.135,85;34.500,49;34.759,75;34.998,47
22;31.140,53;31.458,68;31.700,16;32.015,40;32.547,90;32.981,75;33.330,45;33.700,21;34.149,42;34.510,46;34.765,53;35.009,70
23;31.148,54;31.472,09;31.703,22;32.035,49;32.562,50;32.994,87;33.340,08;33.715,33;34.163,01;34.520,44;34.771,31;35.020,94
24;31.156,54;31.485,50;31.706,28;32.055,60;32.577,11;33.007,99;33.349,72;33.730,45;34.176,59;34.530,42;34.777,09;35.032,18
25;31.164,55;31.498,92;31.709,35;32.075,71;32.591,72;33.021,12;33.359,36;33.745,58;34.190,18;34.540,40;34.782,87;35.043,43
26;31.172,57;31.512,34;31.712,41;32.095,84;32.606,34;33.034,25;33.369,00;33.760,72;34.203,78;34.550,38;34.788,65;35.054,68
27;31.180,58;31.525,77;31.715,48;32.115,99;32.620,97;33.047,39;33.378,65;33.775,86;34.217,38;34.560,37;34.794,44;35.065,93
28;31.188,59;31.539,20;31.718,54;32.136,14;32.635,60;33.060,53;33.388,30;33.791,01;34.230,99;34.570,36;34.800,22;35.077,19
29;31.196,61;;31.721,61;32.156,31;32.650,24;33.073,68;33.397,95;33.806,17;34.244,61;34.580,35;34.806,01;35.088,45
30;31.204,63;;31.724,67;32.176,49;32.664,89;33.086,83;33.407,60;33.821,34;34.258,23;34.590,35;34.811,80;35.099,72
31;31.212,65;;31.727,74;;32.679,54;;33.417,26;33.836,51;;34.600,35;;35.110,98
