Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;22.837,06;22.807,54;22.840,11;22.870,11;22.943,08;22.882,25;22.852,67;22.954,32;23.040,94;23.092,57;23.190,54;23.237,43
2;22.833,37;22.807,54;22.841,74;22.870,85;22.946,13;22.878,55;22.852,67;22.958,75;23.043,17;23.094,11;23.194,27;23.238,20
3;22.829,68;22.807,54;22.843,37;22.871,59;22.949,18;22.874,85;22.852,67;22.963,18;23.045,39;23.095,65;23.198,00;23.238,97
4;22.825,99;22.807,54;22.845,00;22.872,33;22.952,24;22.871,16;22.852,67;22.967,62;23.047,62;23.097,18;23.201,73;23.239,75
5;22.822,30;22.807,54;22.846,63;22.873,06;22.955,29;22.867,46;22.852,67;22.972,05;23.049,85;23.098,72;23.205,47;23.240,52
6;22.818,61;22.807,54;22.848,26;22.873,80;22.958,35;22.863,76;22.852,67;22.976,48;23.052,08;23.100,26;23.209,20;23.241,30
7;22.814,92;22.807,54;22.849,89;22.874,54;22.961,40;22.860,06;22.852,67;22.980,92;23.054,30;23.101,80;23.212,93;23.242,07
8;22.811,23;22.807,54;22.851,52;22.875,28;22.964,46;22.856,37;22.852,67;22.985,35;23.056,53;23.103,34;23.216,67;23.242,85
9;22.807,54;22.807,54;22.853,16;22.876,01;22.967,51;22.852,67;22.852,67;22.989,79;23.058,76;23.104,88;23.220,40;23.243,62
10;22.807,54;22.809,17;22.853,90;22.879,05;22.963,80;22.852,67;22.857,08;22.992,01;23.060,30;23.108,60;23.221,17;23.246,61
11;22.807,54;22.810,80;22.854,63;22.882,10;22.960,08;22.852,67;22.861,49;22.994,23;23.061,83;23.112,32;23.221,95;23.249,61
12;22.807,54;22.812,42;22.855,37;22.885,14;22.956,37;22.852,67;22.865,90;22.996,46;23.063,37;23.116,03;23.222,72;23.252,60
13;22.807,54;22.814,05;22.856,11;22.888,19;22.952,66;22.852,67;22.870,32;22.998,68;23.064,90;23.119,75;23.223,49;23.255,60
14;22.807,54;22.815,68;22.856,84;22.891,24;22.948,95;22.852,67;22.874,73;23.000,90;23.066,44;23.123,47;23.224,27;23.258,59
15;22.807,54;22.817,31;22.857,58;22.894,28;22.945,24;22.852,67;22.879,14;23.003,12;23.067,98;23.127,19;23.225,04;23.261,59
16;22.807,54;22.818,94;22.858,32;22.897,33;22.941,53;22.852,67;22.883,56;23.005,35;23.069,51;23.130,92;23.225,82;23.264,58
17;22.807,54;22.820,56;22.859,06;22.900,38;22.937,82;22.852,67;22.887,98;23.007,57;23.071,05;23.134,64;23.226,59;23.267,58
18;22.807,54;22.822,19;22.859,79;22.903,42;22.934,11;22.852,67;22.892,39;23.009,79;23.072,59;23.138,36;23.227,36;23.270,57
19;22.807,54;22.823,82;22.860,53;22.906,47;22.930,40;22.852,67;22.896,81;23.012,02;23.074,12;23.142,08;23.228,14;23.273,57
20;22.807,54;22.825,45;22.861,27;22.909,52;22.926,70;22.852,67;22.901,23;23.014,24;23.075,66;23.145,81;23.228,91;23.276,57
21;22.807,54;22.827,08;22.862,00;22.912,57;22.922,99;22.852,67;22.905,65;23.016,46;23.077,20;23.149,53;23.229,69;23.279,57
22;22.807,54;22.828,71;22.862,74;22.915,62;22.919,28;22.852,67;22.910,07;23.018,69;23.078,73;23.153,26;23.230,46;23.282,56
23;22.807,54;22.830,34;22.863,48;22.918,67;22.915,58;22.852,67;22.914,49;23.020,91;23.080,27;23.156,98;23.231,23;23.285,56
24;22.807,54;22.831,97;22.864,22;22.921,72;22.911,87;22.852,67;22.918,91;23.023,14;23.081,81;23.160,71;23.232,01;23.288,56
25;22.807,54;22.833,59;22.864,95;22.924,77;22.908,17;22.852,67;22.923,34;23.025,36;23.083,34;23.164,43;23.232,78;23.291,56
26;22.807,54;22.835,22;22.865,69;22.927,82;22.904,46;22.852,67;22.927,76;23.027,59;23.084,88;23.168,16;23.233,56;23.294,56
27;22.807,54;22.836,85;22.866,43;22.930,87;22.900,76;22.852,67;22.932,19;23.029,81;23.086,42;23.171,89;23.234,33;23.297,56
28;22.807,54;22.838,48;22.867,16;22.933,92;22.897,06;22.852,67;22.936,61;23.032,04;23.087,96;23.175,62;23.235,10;23.300,56
29;22.807,54;;22.867,90;22.936,97;22.893,36;22.852,67;22.941,04;23.034,26;23.089,49;23.179,35;23.235,88;23.303,56
30;22.807,54;;22.868,64;22.940,02;22.889,65;22.852,67;22.945,47;23.036,49;23.091,03;23.183,08;23.236,65;23.306,56
31;22.807,54;;22.869,38;;22.885,95;;22.949,89;23.038,71;;23.186,81;;23.309,56
