Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;24.627,10;24.553,98;24.546,11;24.625,95;24.759,71;24.909,55;24.984,62;25.090,61;25.197,45;25.352,78;25.494,15;25.601,82
2;24.627,10;24.550,80;24.546,98;24.629,12;24.764,65;24.914,36;24.986,28;25.094,65;25.200,69;25.358,68;25.498,25;25.605,23
3;24.627,10;24.547,63;24.547,86;24.632,29;24.769,59;24.919,17;24.987,95;25.098,69;25.203,94;25.364,57;25.502,35;25.608,63
4;24.627,10;24.544,45;24.548,74;24.635,47;24.774,53;24.923,98;24.989,61;25.102,73;25.207,19;25.370,47;25.506,45;25.612,04
5;24.627,10;24.541,28;24.549,61;24.638,64;24.779,47;24.928,79;24.991,28;25.106,77;25.210,43;25.376,37;25.510,56;25.615,45
6;24.627,10;24.538,11;24.550,49;24.641,81;24.784,41;24.933,60;24.992,94;25.110,81;25.213,68;25.382,27;25.514,66;25.618,86
7;24.627,10;24.534,94;24.551,37;24.644,98;24.789,35;24.938,41;24.994,61;25.114,85;25.216,93;25.388,17;25.518,77;25.622,27
8;24.627,10;24.531,76;24.552,24;24.648,16;24.794,29;24.943,22;24.996,27;25.118,89;25.220,17;25.394,08;25.522,87;25.625,68
9;24.627,10;24.528,59;24.553,12;24.651,33;24.799,24;24.948,04;24.997,94;25.122,93;25.223,42;25.399,98;25.526,98;25.629,09
10;24.623,92;24.529,47;24.556,28;24.656,25;24.804,03;24.949,70;25.001,96;25.126,17;25.229,29;25.404,07;25.530,38;25.629,09
11;24.620,73;24.530,34;24.559,44;24.661,16;24.808,81;24.951,36;25.005,99;25.129,40;25.235,15;25.408,15;25.533,77;25.629,09
12;24.617,55;24.531,22;24.562,61;24.666,08;24.813,60;24.953,03;25.010,01;25.132,64;25.241,02;25.412,24;25.537,17;25.629,09
13;24.614,37;24.532,09;24.565,77;24.671,00;24.818,39;24.954,69;25.014,03;25.135,87;25.246,89;25.416,33;25.540,57;25.629,09
14;24.611,18;24.532,97;24.568,93;24.675,92;24.823,18;24.956,35;25.018,06;25.139,11;25.252,76;25.420,42;25.543,97;25.629,09
15;24.608,00;24.533,84;24.572,10;24.680,84;24.827,97;24.958,01;25.022,08;25.142,35;25.258,63;25.424,51;25.547,37;25.629,09
16;24.604,82;24.534,72;24.575,26;24.685,76;24.832,76;24.959,67;25.026,11;25.145,59;25.264,51;25.428,60;25.550,77;25.629,09
17;24.601,64;24.535,60;24.578,43;24.690,69;24.837,55;24.961,34;25.030,14;25.148,82;25.270,38;25.432,69;25.554,17;25.629,09
18;24.598,46;24.536,47;24.581,59;24.695,61;24.842,35;24.963,00;25.034,16;25.152,06;25.276,26;25.436,79;25.557,57;25.629,09
19;24.595,28;24.537,35;24.584,76;24.700,53;24.847,14;24.964,66;25.038,19;25.155,30;25.282,14;25.440,88;25.560,97;25.629,09
20;24.592,10;24.538,22;24.587,92;24.705,46;24.851,94;24.966,32;25.042,22;25.158,54;25.288,02;25.444,97;25.564,37;25.629,09
21;24.588,92;24.539,10;24.591,09;24.710,39;24.856,73;24.967,99;25.046,25;25.161,78;25.293,90;25.449,07;25.567,77;25.629,09
22;24.585,74;24.539,98;24.594,26;24.715,31;24.861,53;24.969,65;25.050,28;25.165,02;25.299,78;25.453,16;25.571,18;25.629,09
23;24.582,56;24.540,85;24.597,43;24.720,24;24.866,33;24.971,31;25.054,31;25.168,26;25.305,66;25.457,26;25.574,58;25.629,09
24;24.579,39;24.541,73;24.600,59;24.725,17;24.871,13;24.972,98;25.058,34;25.171,50;25.311,55;25.461,35;25.577,98;25.629,09
25;24.576,21;24.542,60;24.603,76;24.730,10;24.875,93;24.974,64;25.062,37;25.174,75;25.317,43;25.465,45;25.581,39;25.629,09
26;24.573,03;24.543,48;24.606,93;24.735,04;24.880,73;24.976,30;25.066,41;25.177,99;25.323,32;25.469,55;25.584,79;25.629,09
27;24.569,85;24.544,36;24.610,10;24.739,97;24.885,53;24.977,97;25.070,44;25.181,23;25.329,21;25.473,64;25.588,20;25.629,09
28;24.566,68;24.545,23;24.613,27;24.744,90;24.890,33;24.979,63;25.074,47;25.184,47;25.335,10;25.477,74;25.591,60;25.629,09
29;24.563,50;;24.616,44;24.749,84;24.895,14;24.981,29;25.078,51;25.187,72;25.340,99;25.481,84;25.595,01;25.629,09
30;24.560,33;;24.619,61;24.754,77;24.899,94;24.982,96;25.082,54;25.190,96;25.346,89;25.485,94;25.598,41;25.629,09
31;24.557,15;;24.622,78;;24.904,75;;25.086,58;25.194,21;;25.490,04;;25.629,09
