Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;26.799,01;26.825,81;26.928,49;26.966,89;27.006,43;27.080,94;27.161,48;27.203,36;27.291,08;27.359,27;27.434,76;27.536,46
2;26.799,87;26.826,67;26.933,29;26.966,89;27.008,23;27.083,56;27.164,19;27.204,23;27.294,60;27.361,09;27.437,41;27.540,13
3;26.800,73;26.827,54;26.938,09;26.966,89;27.010,03;27.086,17;27.166,91;27.205,11;27.298,11;27.362,91;27.440,06;27.543,79
4;26.801,60;26.828,40;26.942,89;26.966,89;27.011,83;27.088,79;27.169,62;27.205,99;27.301,63;27.364,73;27.442,71;27.547,46
5;26.802,46;26.829,27;26.947,69;26.966,89;27.013,63;27.091,41;27.172,33;27.206,86;27.305,14;27.366,56;27.445,36;27.551,13
6;26.803,33;26.830,13;26.952,49;26.966,89;27.015,43;27.094,03;27.175,04;27.207,74;27.308,66;27.368,38;27.448,01;27.554,79
7;26.804,19;26.831,00;26.957,29;26.966,89;27.017,22;27.096,65;27.177,76;27.208,62;27.312,18;27.370,20;27.450,67;27.558,46
8;26.805,05;26.831,86;26.962,09;26.966,89;27.019,02;27.099,26;27.180,47;27.209,50;27.315,69;27.372,03;27.453,32;27.562,13
9;26.805,92;26.832,73;26.966,89;26.966,89;27.020,82;27.101,88;27.183,19;27.210,37;27.319,21;27.373,85;27.455,97;27.565,79
10;26.806,78;26.837,51;26.966,89;26.968,69;27.023,43;27.104,59;27.184,07;27.213,87;27.321,03;27.376,50;27.459,62;27.565,79
11;26.807,65;26.842,29;26.966,89;26.970,48;27.026,04;27.107,29;27.184,94;27.217,38;27.322,85;27.379,14;27.463,28;27.565,79
12;26.808,51;26.847,07;26.966,89;26.972,28;27.028,65;27.110,00;27.185,82;27.220,88;27.324,67;27.381,79;27.466,93;27.565,79
13;26.809,38;26.851,86;26.966,89;26.974,07;27.031,27;27.112,71;27.186,70;27.224,39;27.326,49;27.384,43;27.470,59;27.565,79
14;26.810,24;26.856,64;26.966,89;26.975,87;27.033,88;27.115,41;27.187,57;27.227,90;27.328,31;27.387,08;27.474,24;27.565,79
15;26.811,11;26.861,42;26.966,89;26.977,67;27.036,49;27.118,12;27.188,45;27.231,40;27.330,13;27.389,73;27.477,90;27.565,79
16;26.811,97;26.866,21;26.966,89;26.979,46;27.039,10;27.120,83;27.189,33;27.234,91;27.331,95;27.392,37;27.481,56;27.565,79
17;26.812,84;26.870,99;26.966,89;26.981,26;27.041,72;27.123,54;27.190,20;27.238,42;27.333,77;27.395,02;27.485,21;27.565,79
18;26.813,70;26.875,78;26.966,89;26.983,06;27.044,33;27.126,25;27.191,08;27.241,92;27.335,59;27.397,67;27.488,87;27.565,79
19;26.814,56;26.880,57;26.966,89;26.984,86;27.046,94;27.128,95;27.191,96;27.245,43;27.337,41;27.400,31;27.492,53;27.565,79
20;26.815,43;26.885,36;26.966,89;26.986,65;27.049,56;27.131,66;27.192,83;27.248,94;27.339,23;27.402,96;27.496,19;27.565,79
21;26.816,29;26.890,15;26.966,89;26.988,45;27.052,17;27.134,37;27.193,71;27.252,45;27.341,05;27.405,61;27.499,85;27.565,79
22;26.817,16;26.894,94;26.966,89;26.990,25;27.054,78;27.137,08;27.194,59;27.255,96;27.342,87;27.408,26;27.503,51;27.565,79
23;26.818,02;26.899,73;26.966,89;26.992,05;27.057,40;27.139,79;27.195,46;27.259,47;27.344,69;27.410,91;27.507,17;27.565,79
24;26.818,89;26.904,52;26.966,89;26.993,84;27.060,01;27.142,50;27.196,34;27.262,98;27.346,52;27.413,56;27.510,83;27.565,79
25;26.819,75;26.909,31;26.966,89;26.995,64;27.062,63;27.145,21;27.197,22;27.266,49;27.348,34;27.416,20;27.514,49;27.565,79
26;26.820,62;26.914,11;26.966,89;26.997,44;27.065,24;27.147,92;27.198,09;27.270,00;27.350,16;27.418,85;27.518,15;27.565,79
27;26.821,48;26.918,90;26.966,89;26.999,24;27.067,86;27.150,63;27.198,97;27.273,52;27.351,98;27.421,50;27.521,81;27.565,79
28;26.822,35;26.923,70;26.966,89;27.001,04;27.070,47;27.153,35;27.199,85;27.277,03;27.353,80;27.424,15;27.525,47;27.565,79
29;26.823,21;;26.966,89;27.002,83;27.073,09;27.156,06;27.200,72;27.280,54;27.355,62;27.426,80;27.529,14;27.565,79
30;26.824,08;;26.966,89;27.004,63;27.075,71;27.158,77;27.201,60;27.284,05;27.357,45;27.429,45;27.532,80;27.565,79
31;26.824,94;;26.966,89;;27.078,32;;27.202,48;27.287,57;;27.432,10;;27.565,79
