Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"17.318,73","17.280,66","17.225,78","17.198,23","17.269,38","17.412,32","17.491,00","17.556,90","17.653,18","17.719,33","17.864,89","17.976,45"
2,"17.320,40","17.278,42","17.223,93","17.197,67","17.272,83","17.417,35","17.492,75","17.559,16","17.656,58","17.721,10","17.870,63","17.979,44"
3,"17.322,08","17.276,19","17.222,09","17.197,12","17.276,27","17.422,38","17.494,49","17.561,43","17.659,99","17.722,87","17.876,36","17.982,43"
4,"17.323,75","17.273,95","17.220,24","17.196,56","17.279,72","17.427,42","17.496,24","17.563,69","17.663,40","17.724,64","17.882,10","17.985,42"
5,"17.325,42","17.271,72","17.218,39","17.196,01","17.283,16","17.432,46","17.497,99","17.565,95","17.666,81","17.726,41","17.887,84","17.988,41"
6,"17.327,10","17.269,49","17.216,54","17.195,45","17.286,61","17.437,50","17.499,74","17.568,21","17.670,22","17.728,18","17.893,59","17.991,40"
7,"17.328,77","17.267,26","17.214,70","17.194,90","17.290,06","17.442,54","17.501,48","17.570,47","17.673,63","17.729,95","17.899,33","17.994,39"
8,"17.330,45","17.265,02","17.212,85","17.194,34","17.293,50","17.447,58","17.503,23","17.572,74","17.677,04","17.731,72","17.905,08","17.997,38"
9,"17.332,12","17.262,79","17.211,00","17.193,79","17.296,95","17.452,62","17.504,98","17.575,00","17.680,45","17.733,49","17.910,82","18.000,37"
10,"17.329,88","17.260,94","17.210,44","17.197,22","17.301,95","17.454,36","17.507,23","17.578,39","17.682,22","17.739,18","17.913,80","17.999,21"
11,"17.327,64","17.259,09","17.209,89","17.200,65","17.306,95","17.456,11","17.509,49","17.581,78","17.683,98","17.744,88","17.916,78","17.998,05"
12,"17.325,40","17.257,23","17.209,33","17.204,08","17.311,95","17.457,85","17.511,74","17.585,18","17.685,75","17.750,57","17.919,76","17.996,88"
13,"17.323,16","17.255,38","17.208,78","17.207,51","17.316,96","17.459,59","17.514,00","17.588,57","17.687,51","17.756,27","17.922,73","17.995,72"
14,"17.320,92","17.253,53","17.208,22","17.210,94","17.321,96","17.461,34","17.516,25","17.591,97","17.689,28","17.761,97","17.925,71","17.994,56"
15,"17.318,68","17.251,68","17.207,67","17.214,37","17.326,97","17.463,08","17.518,51","17.595,36","17.691,05","17.767,68","17.928,70","17.993,40"
16,"17.316,44","17.249,83","17.207,11","17.217,81","17.331,98","17.464,82","17.520,77","17.598,76","17.692,81","17.773,38","17.931,68","17.992,23"
17,"17.314,20","17.247,98","17.206,56","17.221,24","17.336,99","17.466,57","17.523,02","17.602,15","17.694,58","17.779,09","17.934,66","17.991,07"
18,"17.311,96","17.246,13","17.206,00","17.224,67","17.342,00","17.468,31","17.525,28","17.605,55","17.696,35","17.784,79","17.937,64","17.989,91"
19,"17.309,73","17.244,28","17.205,45","17.228,11","17.347,01","17.470,06","17.527,54","17.608,95","17.698,11","17.790,50","17.940,62","17.988,75"
20,"17.307,49","17.242,43","17.204,89","17.231,54","17.352,03","17.471,80","17.529,79","17.612,35","17.699,88","17.796,21","17.943,60","17.987,59"
21,"17.305,25","17.240,58","17.204,34","17.234,98","17.357,04","17.473,54","17.532,05","17.615,74","17.701,65","17.801,93","17.946,59","17.986,43"
22,"17.303,01","17.238,73","17.203,78","17.238,42","17.362,06","17.475,29","17.534,31","17.619,14","17.703,42","17.807,64","17.949,57","17.985,26"
23,"17.300,78","17.236,88","17.203,23","17.241,86","17.367,08","17.477,03","17.536,57","17.622,54","17.705,18","17.813,36","17.952,56","17.984,10"
24,"17.298,54","17.235,03","17.202,67","17.245,29","17.372,10","17.478,78","17.538,83","17.625,95","17.706,95","17.819,08","17.955,54","17.982,94"
25,"17.296,30","17.233,18","17.202,11","17.248,73","17.377,12","17.480,52","17.541,08","17.629,35","17.708,72","17.824,80","17.958,53","17.981,78"
26,"17.294,07","17.231,33","17.201,56","17.252,17","17.382,15","17.482,27","17.543,34","17.632,75","17.710,49","17.830,52","17.961,51","17.980,62"
27,"17.291,83","17.229,48","17.201,00","17.255,61","17.387,17","17.484,02","17.545,60","17.636,15","17.712,26","17.836,24","17.964,50","17.979,46"
28,"17.289,60","17.227,63","17.200,45","17.259,05","17.392,20","17.485,76","17.547,86","17.639,56","17.714,02","17.841,97","17.967,49","17.978,30"
29,"17.287,36",,"17.199,89","17.262,50","17.397,22","17.487,51","17.550,12","17.642,96","17.715,79","17.847,70","17.970,47","17.977,14"
30,"17.285,13",,"17.199,34","17.265,94","17.402,25","17.489,25","17.552,38","17.646,36","17.717,56","17.853,43","17.973,46","17.975,97"
31,"17.282,89",,"17.198,78",,"17.407,28",,"17.554,64","17.649,77",,"17.859,16",,"17.974,81"
