Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;25.629,09;25.629,09;25.721,82;25.814,55;25.910,25;25.995,56;26.053,81;26.145,01;26.210,79;26.224,30;26.263,20;26.315,28
2;25.629,09;25.629,09;25.726,25;25.817,04;25.913,70;25.998,07;26.055,54;26.148,38;26.212,48;26.224,30;26.264,90;26.317,03
3;25.629,09;25.629,09;25.730,67;25.819,54;25.917,15;26.000,58;26.057,28;26.151,75;26.214,16;26.224,30;26.266,59;26.318,78
4;25.629,09;25.629,09;25.735,10;25.822,03;25.920,60;26.003,10;26.059,01;26.155,11;26.215,85;26.224,30;26.268,28;26.320,54
5;25.629,09;25.629,09;25.739,52;25.824,53;25.924,05;26.005,61;26.060,75;26.158,48;26.217,54;26.224,30;26.269,98;26.322,29
6;25.629,09;25.629,09;25.743,95;25.827,02;25.927,50;26.008,12;26.062,48;26.161,85;26.219,23;26.224,30;26.271,67;26.324,04
7;25.629,09;25.629,09;25.748,38;25.829,52;25.930,95;26.010,64;26.064,22;26.165,22;26.220,92;26.224,30;26.273,36;26.325,80
8;25.629,09;25.629,09;25.752,81;25.832,02;25.934,40;26.013,15;26.065,96;26.168,59;26.222,61;26.224,30;26.275,06;26.327,55
9;25.629,09;25.629,09;25.757,24;25.834,51;25.937,85;26.015,66;26.067,69;26.171,96;26.224,30;26.224,30;26.276,75;26.329,30
10;25.629,09;25.633,50;25.759,73;25.837,95;25.940,36;26.017,39;26.071,05;26.173,65;26.224,30;26.225,99;26.278,50;26.330,15
11;25.629,09;25.637,91;25.762,22;25.841,39;25.942,86;26.019,13;26.074,40;26.175,33;26.224,30;26.227,68;26.280,25;26.331,00
12;25.629,09;25.642,32;25.764,71;25.844,83;25.945,37;26.020,86;26.077,76;26.177,02;26.224,30;26.229,37;26.282,00;26.331,85
13;25.629,09;25.646,73;25.767,20;25.848,26;25.947,88;26.022,59;26.081,12;26.178,71;26.224,30;26.231,06;26.283,75;26.332,70
14;25.629,09;25.651,14;25.769,69;25.851,70;25.950,38;26.024,32;26.084,48;26.180,40;26.224,30;26.232,75;26.285,50;26.333,54
15;25.629,09;25.655,55;25.772,18;25.855,14;25.952,89;26.026,06;26.087,84;26.182,08;26.224,30;26.234,44;26.287,25;26.334,39
16;25.629,09;25.659,96;25.774,67;25.858,59;25.955,40;26.027,79;26.091,20;26.183,77;26.224,30;26.236,13;26.289,00;26.335,24
17;25.629,09;25.664,38;25.777,16;25.862,03;25.957,91;26.029,52;26.094,56;26.185,46;26.224,30;26.237,83;26.290,75;26.336,09
18;25.629,09;25.668,79;25.779,65;25.865,47;25.960,42;26.031,26;26.097,92;26.187,15;26.224,30;26.239,52;26.292,51;26.336,94
19;25.629,09;25.673,21;25.782,14;25.868,91;25.962,93;26.032,99;26.101,28;26.188,83;26.224,30;26.241,21;26.294,26;26.337,79
20;25.629,09;25.677,62;25.784,63;25.872,35;25.965,43;26.034,73;26.104,64;26.190,52;26.224,30;26.242,90;26.296,01;26.338,64
21;25.629,09;25.682,04;25.787,12;25.875,80;25.967,94;26.036,46;26.108,00;26.192,21;26.224,30;26.244,59;26.297,76;26.339,49
22;25.629,09;25.686,46;25.789,62;25.879,24;25.970,45;26.038,19;26.111,37;26.193,90;26.224,30;26.246,28;26.299,51;26.340,34
23;25.629,09;25.690,87;25.792,11;25.882,68;25.972,96;26.039,93;26.114,73;26.195,59;26.224,30;26.247,97;26.301,26;26.341,19
24;25.629,09;25.695,29;25.794,60;25.886,13;25.975,47;26.041,66;26.118,09;26.197,27;26.224,30;26.249,67;26.303,01;26.342,04
25;25.629,09;25.699,71;25.797,09;25.889,57;25.977,98;26.043,40;26.121,46;26.198,96;26.224,30;26.251,36;26.304,77;26.342,89
26;25.629,09;25.704,13;25.799,59;25.893,02;25.980,49;26.045,13;26.124,82;26.200,65;26.224,30;26.253,05;26.306,52;26.343,74
27;25.629,09;25.708,55;25.802,08;25.896,46;25.983,00;26.046,87;26.128,18;26.202,34;26.224,30;26.254,74;26.308,27;26.344,58
28;25.629,09;25.712,98;25.804,57;25.899,91;25.985,51;26.048,60;26.131,55;26.204,03;26.224,30;26.256,43;26.310,02;26.345,43
29;25.629,09;25.717,40;25.807,07;25.903,36;25.988,03;26.050,34;26.134,91;26.205,72;26.224,30;26.258,13;26.311,77;26.346,28
30;25.629,09;;25.809,56;25.906,80;25.990,54;26.052,07;26.138,28;26.207,41;26.224,30;26.259,82;26.313,53;26.347,13
31;25.629,09;;25.812,05;;25.993,05;;26.141,65;26.209,10;;26.261,51;;26.347,98
