Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"22.296,19","22.412,68","22.463,56","22.536,41","22.592,72","22.621,53","22.627,36","22.576,98","22.559,48","22.592,56","22.738,63","22.885,62"
2,"22.298,34","22.417,01","22.464,34","22.539,31","22.594,22","22.622,26","22.627,36","22.574,79","22.559,48","22.594,06","22.744,48","22.890,18"
3,"22.300,50","22.421,34","22.465,11","22.542,22","22.595,73","22.622,99","22.627,36","22.572,60","22.559,48","22.595,57","22.750,32","22.894,74"
4,"22.302,65","22.425,66","22.465,89","22.545,12","22.597,23","22.623,72","22.627,36","22.570,41","22.559,48","22.597,07","22.756,17","22.899,31"
5,"22.304,81","22.429,99","22.466,66","22.548,02","22.598,74","22.624,45","22.627,36","22.568,23","22.559,48","22.598,58","22.762,02","22.903,88"
6,"22.306,96","22.434,32","22.467,43","22.550,93","22.600,24","22.625,18","22.627,36","22.566,04","22.559,48","22.600,08","22.767,87","22.908,44"
7,"22.309,12","22.438,65","22.468,21","22.553,83","22.601,75","22.625,91","22.627,36","22.563,85","22.559,48","22.601,59","22.773,73","22.913,01"
8,"22.311,27","22.442,98","22.468,98","22.556,73","22.603,25","22.626,64","22.627,36","22.561,66","22.559,48","22.603,09","22.779,58","22.917,58"
9,"22.313,43","22.447,31","22.469,76","22.559,64","22.604,76","22.627,36","22.627,36","22.559,48","22.559,48","22.604,60","22.785,44","22.922,15"
10,"22.317,74","22.448,08","22.472,65","22.561,14","22.605,49","22.627,36","22.625,17","22.559,48","22.560,98","22.610,41","22.789,98","22.918,44"
11,"22.322,04","22.448,86","22.475,55","22.562,65","22.606,22","22.627,36","22.622,97","22.559,48","22.562,49","22.616,22","22.794,53","22.914,74"
12,"22.326,35","22.449,63","22.478,44","22.564,15","22.606,95","22.627,36","22.620,78","22.559,48","22.563,99","22.622,04","22.799,07","22.911,03"
13,"22.330,66","22.450,40","22.481,34","22.565,65","22.607,68","22.627,36","22.618,59","22.559,48","22.565,49","22.627,85","22.803,62","22.907,33"
14,"22.334,97","22.451,18","22.484,23","22.567,15","22.608,40","22.627,36","22.616,40","22.559,48","22.566,99","22.633,67","22.808,17","22.903,63"
15,"22.339,28","22.451,95","22.487,13","22.568,66","22.609,13","22.627,36","22.614,21","22.559,48","22.568,50","22.639,49","22.812,72","22.899,92"
16,"22.343,59","22.452,73","22.490,02","22.570,16","22.609,86","22.627,36","22.612,01","22.559,48","22.570,00","22.645,31","22.817,27","22.896,22"
17,"22.347,90","22.453,50","22.492,92","22.571,66","22.610,59","22.627,36","22.609,82","22.559,48","22.571,50","22.651,13","22.821,82","22.892,52"
18,"22.352,22","22.454,27","22.495,82","22.573,17","22.611,32","22.627,36","22.607,63","22.559,48","22.573,01","22.656,95","22.826,37","22.888,82"
19,"22.356,53","22.455,05","22.498,71","22.574,67","22.612,05","22.627,36","22.605,44","22.559,48","22.574,51","22.662,78","22.830,92","22.885,12"
20,"22.360,84","22.455,82","22.501,61","22.576,17","22.612,78","22.627,36","22.603,25","22.559,48","22.576,01","22.668,60","22.835,47","22.881,42"
21,"22.365,16","22.456,60","22.504,51","22.577,68","22.613,51","22.627,36","22.601,06","22.559,48","22.577,52","22.674,43","22.840,03","22.877,72"
22,"22.369,48","22.457,37","22.507,41","22.579,18","22.614,24","22.627,36","22.598,87","22.559,48","22.579,02","22.680,26","22.844,58","22.874,02"
23,"22.373,79","22.458,14","22.510,31","22.580,68","22.614,97","22.627,36","22.596,68","22.559,48","22.580,52","22.686,09","22.849,14","22.870,32"
24,"22.378,11","22.458,92","22.513,21","22.582,19","22.615,69","22.627,36","22.594,49","22.559,48","22.582,03","22.691,92","22.853,69","22.866,62"
25,"22.382,43","22.459,69","22.516,10","22.583,69","22.616,42","22.627,36","22.592,30","22.559,48","22.583,53","22.697,76","22.858,25","22.862,92"
26,"22.386,75","22.460,47","22.519,00","22.585,20","22.617,15","22.627,36","22.590,11","22.559,48","22.585,04","22.703,59","22.862,81","22.859,23"
27,"22.391,07","22.461,24","22.521,90","22.586,70","22.617,88","22.627,36","22.587,92","22.559,48","22.586,54","22.709,43","22.867,37","22.855,53"
28,"22.395,39","22.462,01","22.524,80","22.588,21","22.618,61","22.627,36","22.585,73","22.559,48","22.588,04","22.715,26","22.871,93","22.851,84"
29,"22.399,71","22.462,79","22.527,71","22.589,71","22.619,34","22.627,36","22.583,54","22.559,48","22.589,55","22.721,10","22.876,49","22.848,14"
30,"22.404,04",,"22.530,61","22.591,21","22.620,07","22.627,36","22.581,35","22.559,48","22.591,05","22.726,94","22.881,05","22.844,45"
31,"22.408,36",,"22.533,51",,"22.620,80",,"22.579,16","22.559,48",,"22.732,79",,"22.840,75"
