Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"21.456,25","21.477,70","21.529,26","21.579,66","21.717,32","21.811,94","21.892,81","21.948,64","21.976,25","22.014,15","22.107,54","22.217,12"
2,"21.456,94","21.478,39","21.531,56","21.581,05","21.723,09","21.814,05","21.895,72","21.950,06","21.976,96","22.015,62","22.111,09","22.220,82"
3,"21.457,63","21.479,09","21.533,86","21.582,44","21.728,86","21.816,16","21.898,63","21.951,47","21.977,67","22.017,08","22.114,65","22.224,51"
4,"21.458,32","21.479,78","21.536,17","21.583,83","21.734,63","21.818,27","21.901,55","21.952,89","21.978,38","22.018,55","22.118,21","22.228,21"
5,"21.459,01","21.480,47","21.538,47","21.585,22","21.740,41","21.820,37","21.904,46","21.954,30","21.979,09","22.020,02","22.121,77","22.231,90"
6,"21.459,70","21.481,16","21.540,78","21.586,61","21.746,18","21.822,48","21.907,38","21.955,72","21.979,79","22.021,48","22.125,33","22.235,60"
7,"21.460,40","21.481,86","21.543,08","21.588,00","21.751,96","21.824,59","21.910,29","21.957,13","21.980,50","22.022,95","22.128,89","22.239,29"
8,"21.461,09","21.482,55","21.545,38","21.589,39","21.757,74","21.826,70","21.913,21","21.958,55","21.981,21","22.024,42","22.132,45","22.242,99"
9,"21.461,78","21.483,24","21.547,69","21.590,79","21.763,52","21.828,81","21.916,13","21.959,96","21.981,92","22.025,88","22.136,01","22.246,69"
10,"21.462,47","21.485,54","21.549,08","21.596,53","21.765,62","21.831,71","21.917,54","21.960,67","21.983,38","22.029,42","22.139,69","22.248,84"
11,"21.463,16","21.487,84","21.550,47","21.602,26","21.767,73","21.834,62","21.918,96","21.961,38","21.984,85","22.032,97","22.143,37","22.250,99"
12,"21.463,86","21.490,14","21.551,86","21.608,00","21.769,83","21.837,53","21.920,37","21.962,08","21.986,31","22.036,51","22.147,05","22.253,14"
13,"21.464,55","21.492,44","21.553,25","21.613,74","21.771,93","21.840,43","21.921,78","21.962,79","21.987,78","22.040,06","22.150,74","22.255,29"
14,"21.465,24","21.494,73","21.554,64","21.619,48","21.774,04","21.843,34","21.923,19","21.963,50","21.989,24","22.043,61","22.154,42","22.257,44"
15,"21.465,93","21.497,03","21.556,02","21.625,23","21.776,14","21.846,25","21.924,61","21.964,21","21.990,71","22.047,15","22.158,10","22.259,59"
16,"21.466,62","21.499,33","21.557,41","21.630,97","21.778,25","21.849,15","21.926,02","21.964,92","21.992,17","22.050,70","22.161,79","22.261,74"
17,"21.467,32","21.501,63","21.558,80","21.636,72","21.780,35","21.852,06","21.927,43","21.965,62","21.993,64","22.054,25","22.165,47","22.263,89"
18,"21.468,01","21.503,93","21.560,19","21.642,46","21.782,46","21.854,97","21.928,85","21.966,33","21.995,10","22.057,80","22.169,16","22.266,05"
19,"21.468,70","21.506,24","21.561,58","21.648,21","21.784,56","21.857,88","21.930,26","21.967,04","21.996,56","22.061,35","22.172,84","22.268,20"
20,"21.469,39","21.508,54","21.562,97","21.653,96","21.786,67","21.860,79","21.931,67","21.967,75","21.998,03","22.064,90","22.176,53","22.270,35"
21,"21.470,09","21.510,84","21.564,36","21.659,72","21.788,77","21.863,69","21.933,09","21.968,46","21.999,49","22.068,45","22.180,22","22.272,50"
22,"21.470,78","21.513,14","21.565,75","21.665,47","21.790,88","21.866,60","21.934,50","21.969,17","22.000,96","22.072,00","22.183,90","22.274,65"
23,"21.471,47","21.515,44","21.567,14","21.671,22","21.792,98","21.869,51","21.935,91","21.969,87","22.002,43","22.075,55","22.187,59","22.276,81"
24,"21.472,16","21.517,74","21.568,53","21.676,98","21.795,09","21.872,42","21.937,33","21.970,58","22.003,89","22.079,10","22.191,28","22.278,96"
25,"21.472,85","21.520,04","21.569,92","21.682,74","21.797,19","21.875,33","21.938,74","21.971,29","22.005,36","22.082,65","22.194,97","22.281,11"
26,"21.473,55","21.522,35","21.571,31","21.688,50","21.799,30","21.878,25","21.940,16","21.972,00","22.006,82","22.086,21","22.198,66","22.283,26"
27,"21.474,24","21.524,65","21.572,70","21.694,26","21.801,41","21.881,16","21.941,57","21.972,71","22.008,29","22.089,76","22.202,35","22.285,42"
28,"21.474,93","21.526,95","21.574,09","21.700,02","21.803,51","21.884,07","21.942,98","21.973,42","22.009,75","22.093,31","22.206,04","22.287,57"
29,"21.475,62",,"21.575,48","21.705,79","21.805,62","21.886,98","21.944,40","21.974,13","22.011,22","22.096,87","22.209,74","22.289,73"
30,"21.476,32",,"21.576,87","21.711,55","21.807,73","21.889,89","21.945,81","21.974,83","22.012,69","22.100,42","22.213,43","22.291,88"
31,"21.477,01",,"21.578,26",,"21.809,84",,"21.947,23","21.975,54",,"22.103,98",,"22.294,03"
